iter	Passed	Remaining
413	3444	38158
414	3453	38153
415	3461	38144
416	3469	38133
417	3478	38128
418	3487	38126
419	3495	38121
420	3504	38113
421	3512	38109
422	3521	38106
423	3530	38104
424	3539	38096
425	3547	38084
426	3554	38069
427	3562	38057
428	3570	38047
429	3579	38045
430	3587	38033
431	3595	38019
432	3603	38007
433	3611	37994
434	3620	37993
435	3628	37986
436	3637	37979
437	3645	37968
438	3653	37955
439	3661	37943
440	3669	37933
441	3677	37922
442	3685	37908
443	3693	37900
444	3701	37893
445	3710	37885
446	3718	37874
447	3727	37869
448	3735	37863
449	3744	37858
450	3752	37849
451	3761	37844
452	3771	37852
453	3781	37863
454	3791	37874
455	3802	37890
456	3812	37896
457	3819	37879
458	3828	37873
459	3836	37862
460	3844	37857
461	3852	37844
462	3861	37841
463	3869	37826
464	3877	37818
465	3885	37807
466	3894	37799
467	3902	37791
468	3910	37778
469	3918	37762
470	3925	37749
471	3933	37739
472	3941	37727
473	3950	37718
474	3958	37713
475	3967	37706
476	3975	37693
477	3983	37682
478	3991	37668
479	3998	37656
480	4007	37647
481	4015	37640
482	4023	37628
483	4031	37614
484	4039	37608
485	4047	37597
486	4055	37585
487	4064	37578
488	4072	37567
489	4080	37554
490	4088	37545
491	4096	37539
492	4104	37524
493	4112	37508
494	4120	37497
495	4128	37488
496	4136	37477
497	4144	37468
498	4152	37457
499	4160	37447
500	4169	37441
501	4176	37425
502	4184	37414
503	4193	37405
504	4201	37396
505	4209	37385
506	4217	37375
507	4225	37362
508	4233	37349
509	4242	37346
510	4250	37336
511	4259	37332
512	4266	37321
513	4274	37308
514	4282	37294
515	4290	37285
516	4299	37279
517	4307	37272
518	4316	37264
519	4324	37253
520	4332	37245
521	4340	37239
522	4348	37226
523	4357	37223
524	4365	37210
525	4373	37202
526	4381	37191
527	4390	37183
528	4398	37173
529	4406	37164
530	4414	37155
531	4423	37148
532	4431	37141
533	4440	37135
534	4448	37127
535	4456	37119
536	4465	37112
537	4474	37108
538	4482	37101
539	4491	37097
540	4500	37091
541	4508	37082
542	4516	37073
543	4524	37063
544	4533	37054
545	4541	37046
546	4549	37034
547	4557	37024
548	4565	37010
549	4572	36998
550	4581	36992
551	4589	36978
552	4597	36968
553	4605	36959
554	4613	36948
555	4621	36937
556	4629	36926
557	4637	36913
558	4645	36905
559	4653	36892
560	4661	36882
561	4669	36872
562	4677	36864
563	4685	36851
564	4693	36839
565	4701	36831
566	4710	36825
567	4718	36820
568	4726	36808
569	4734	36798
570	4742	36788
571	4750	36777
572	4758	36764
573	4766	36751
574	4774	36741
575	4783	36736
576	4791	36725
577	4798	36714
578	4807	36704
579	4815	36695
580	4823	36688
581	4831	36676
582	4839	36666
583	4847	36653
584	4855	36647
585	4863	36636
586	4871	36623
587	4879	36614
588	4887	36600
589	4894	36586
590	4903	36578
591	4911	36571
592	4919	36559
593	4927	36551
594	4936	36543
595	4944	36537
596	4952	36528
597	4960	36517
598	4968	36503
599	4977	36498
600	4985	36489
601	4993	36481
602	5002	36475
603	5010	36468
604	5019	36461
605	5027	36454
606	5036	36446
607	5044	36436
608	5052	36428
609	5061	36424
610	5069	36415
611	5077	36402
612	5084	36389
613	5093	36381
614	5101	36371
615	5109	36362
616	5117	36350
617	5125	36339
618	5133	36333
619	5141	36322
620	5150	36320
621	5158	36308
622	5166	36298
623	5174	36287
624	5182	36278
625	5190	36269
626	5199	36263
627	5207	36253
628	5215	36242
629	5222	36229
630	5231	36221
631	5239	36214
632	5248	36206
633	5256	36199
634	5265	36195
635	5274	36188
636	5282	36178
637	5289	36166
638	5298	36163
639	5308	36161
640	5316	36156
641	5325	36151
642	5333	36142
643	5342	36135
644	5350	36124
645	5359	36122
646	5368	36120
647	5376	36108
648	5384	36096
649	5391	36084
650	5400	36080
651	5408	36069
652	5417	36063
653	5426	36059
654	5434	36050
655	5442	36042
656	5450	36031
657	5458	36021
658	5466	36009
659	5475	36003
660	5483	35996
661	5491	35986
662	5500	35979
663	5508	35970
664	5516	35961
665	5524	35952
666	5533	35946
667	5541	35936
668	5549	35926
669	5557	35916
670	5565	35909
671	5575	35909
672	5584	35903
673	5592	35897
674	5601	35890
675	5611	35892
676	5619	35886
677	5628	35881
678	5637	35873
679	5645	35863
680	5653	35857
681	5662	35851
682	5670	35843
683	5678	35833
684	5686	35821
685	5695	35815
686	5703	35803
687	5710	35792
688	5719	35783
689	5727	35774
690	5735	35767
691	5743	35757
692	5751	35747
693	5760	35739
694	5768	35728
695	5776	35719
696	5784	35711
697	5792	35701
698	5801	35694
699	5809	35684
700	5818	35679
701	5826	35672
702	5834	35660
703	5842	35653
704	5850	35643
705	5858	35631
706	5866	35619
707	5873	35606
708	5881	35595
709	5889	35585
710	5898	35581
711	5906	35571
712	5914	35562
713	5923	35555
714	5930	35543
715	5938	35533
716	5948	35534
717	5957	35526
718	5964	35515
719	5972	35503
720	5981	35496
721	5988	35485
722	5996	35475
723	6004	35463
724	6013	35459
725	6022	35452
726	6030	35443
727	6038	35431
728	6046	35425
729	6054	35416
730	6062	35407
731	6070	35397
732	6078	35384
733	6086	35374
734	6094	35364
735	6102	35354
736	6110	35342
737	6117	35331
738	6125	35318
739	6133	35309
740	6141	35300
741	6149	35291
742	6157	35278
743	6165	35270
744	6173	35262
745	6184	35266
746	6193	35262
747	6202	35257
748	6210	35245
749	6217	35234
750	6225	35225
751	6234	35215
752	6241	35203
753	6249	35195
754	6257	35183
755	6265	35175
756	6274	35168
757	6282	35159
758	6291	35151
759	6298	35141
760	6307	35133
761	6314	35121
762	6322	35110
763	6331	35104
764	6339	35095
765	6347	35087
766	6355	35075
767	6363	35065
768	6371	35056
769	6379	35047
770	6388	35039
771	6395	35027
772	6404	35021
773	6412	35011
774	6420	35002
775	6429	34995
776	6436	34984
777	6444	34972
778	6452	34964
779	6460	34953
780	6468	34944
781	6477	34936
782	6485	34927
783	6493	34918
784	6501	34907
785	6508	34896
786	6517	34890
787	6525	34880
788	6533	34869
789	6540	34857
790	6548	34845
791	6556	34836
792	6564	34828
793	6573	34820
794	6580	34808
795	6589	34802
796	6597	34792
797	6606	34785
798	6614	34779
799	6622	34767
800	6631	34761
801	6639	34752
802	6647	34743
803	6655	34734
804	6662	34721
805	6671	34713
806	6679	34703
807	6687	34693
808	6694	34683
809	6702	34671
810	6711	34664
811	6718	34652
812	6726	34642
813	6734	34633
814	6743	34625
815	6752	34621
816	6760	34613
817	6768	34602
818	6776	34594
819	6784	34583
820	6792	34574
821	6800	34562
822	6807	34552
823	6815	34543
824	6824	34534
825	6832	34526
826	6840	34518
827	6848	34508
828	6857	34502
829	6865	34494
830	6874	34488
831	6882	34479
832	6890	34470
833	6898	34460
834	6906	34449
835	6914	34441
836	6923	34434
837	6931	34425
838	6939	34417
839	6947	34408
840	6956	34401
841	6964	34393
842	6973	34386
843	6981	34376
844	6989	34368
845	6997	34360
846	7006	34352
847	7015	34348
848	7023	34338
849	7031	34331
850	7040	34326
851	7048	34316
852	7056	34308
853	7065	34299
854	7073	34291
855	7082	34286
856	7090	34275
857	7098	34268
858	7106	34259
859	7114	34248
860	7122	34240
861	7130	34230
862	7138	34220
863	7146	34211
864	7154	34201
865	7163	34196
866	7171	34186
867	7179	34178
868	7188	34171
869	7196	34161
870	7205	34157
871	7213	34147
872	7221	34139
873	7230	34133
874	7239	34128
875	7248	34122
876	7256	34116
877	7265	34111
878	7274	34102
879	7282	34094
880	7290	34086
881	7298	34076
882	7306	34066
883	7314	34055
884	7322	34047
885	7331	34040
886	7338	34030
887	7347	34021
888	7354	34011
889	7362	34001
890	7371	33995
891	7379	33987
892	7387	33977
893	7396	33968
894	7404	33960
895	7412	33953
896	7420	33943
897	7428	33933
898	7437	33928
899	7446	33920
900	7455	33916
901	7463	33907
902	7472	33901
903	7480	33895
904	7489	33887
905	7497	33879
906	7505	33871
907	7514	33863
908	7522	33854
909	7531	33848
910	7540	33845
911	7548	33835
912	7556	33825
913	7564	33816
914	7572	33808
915	7581	33802
916	7589	33792
917	7598	33786
918	7606	33777
919	7614	33767
920	7622	33760
921	7630	33750
922	7639	33743
923	7647	33733
924	7656	33729
925	7665	33722
926	7673	33715
927	7681	33708
928	7691	33703
929	7699	33694
930	7707	33686
931	7715	33678
932	7724	33671
933	7732	33661
934	7741	33654
935	7749	33647
936	7758	33641
937	7767	33635
938	7775	33625
939	7783	33616
940	7791	33607
941	7799	33598
942	7807	33587
943	7816	33582
944	7824	33574
945	7833	33567
946	7841	33558
947	7849	33549
948	7858	33544
949	7865	33533
950	7875	33530
951	7883	33520
952	7891	33511
953	7900	33505
954	7909	33500
955	7917	33493
956	7926	33486
957	7935	33480
958	7943	33472
959	7951	33463
960	7960	33457
961	7969	33450
962	7977	33443
963	7985	33432
964	7993	33424
965	8002	33420
966	8011	33412
967	8019	33405
968	8028	33398
969	8036	33388
970	8044	33379
971	8053	33372
972	8061	33364
973	8069	33355
974	8077	33344
975	8085	33335
976	8093	33328
977	8102	33322
978	8110	33313
979	8118	33302
980	8127	33296
981	8135	33289
982	8143	33280
983	8151	33270
984	8159	33260
985	8167	33251
986	8175	33241
987	8183	33230
988	8191	33222
989	8200	33216
990	8208	33207
991	8217	33201
992	8226	33195
993	8235	33189
994	8243	33181
995	8252	33177
996	8261	33172
997	8269	33162
998	8278	33155
999	8287	33149
1000	8295	33142
1001	8304	33134
1002	8313	33128
1003	8321	33121
1004	8330	33113
1005	8338	33106
1006	8347	33098
1007	8355	33089
1008	8363	33080
1009	8372	33074
1010	8380	33067
1011	8389	33059
1012	8398	33053
1013	8406	33047
1014	8415	33039
1015	8424	33033
1016	8433	33027
1017	8441	33018
1018	8449	33011
1019	8458	33005
1020	8467	32997
1021	8475	32990
1022	8484	32983
1023	8492	32975
1024	8501	32970
1025	8511	32965
1026	8519	32957
1027	8527	32949
1028	8535	32940
1029	8544	32932
1030	8552	32922
1031	8560	32913
1032	8568	32905
1033	8576	32895
1034	8584	32885
1035	8592	32878
1036	8600	32868
1037	8608	32858
1038	8616	32849
1039	8624	32839
1040	8633	32832
1041	8641	32823
1042	8649	32813
1043	8657	32805
1044	8665	32797
1045	8674	32790
1046	8682	32782
1047	8690	32773
1048	8699	32766
1049	8707	32757
1050	8716	32751
1051	8725	32745
1052	8734	32740
1053	8742	32731
1054	8751	32724
1055	8760	32719
1056	8768	32709
1057	8776	32701
1058	8784	32691
1059	8793	32684
1060	8802	32680
1061	8811	32673
1062	8819	32663
1063	8827	32656
1064	8836	32649
1065	8844	32640
1066	8853	32634
1067	8861	32624
1068	8869	32615
1069	8877	32605
1070	8885	32598
1071	8894	32590
1072	8902	32581
1073	8910	32573
1074	8919	32565
1075	8928	32559
1076	8935	32549
1077	8944	32541
1078	8952	32531
1079	8960	32525
1080	8970	32519
1081	8979	32514
1082	8987	32504
1083	8996	32499
1084	9004	32491
1085	9013	32483
1086	9020	32473
1087	9028	32464
1088	9037	32455
1089	9045	32447
1090	9053	32439
1091	9062	32432
1092	9070	32422
1093	9079	32416
1094	9087	32409
1095	9096	32401
1096	9104	32391
1097	9112	32383
1098	9120	32374
1099	9129	32366
1100	9138	32362
1101	9146	32354
1102	9154	32345
1103	9163	32337
1104	9172	32330
1105	9180	32321
1106	9187	32311
1107	9196	32304
1108	9205	32297
1109	9213	32287
1110	9221	32279
1111	9229	32270
1112	9237	32259
1113	9245	32252
1114	9254	32244
1115	9262	32235
1116	9270	32226
1117	9278	32217
1118	9286	32207
1119	9295	32201
1120	9303	32194
1121	9312	32187
1122	9320	32179
1123	9329	32172
1124	9337	32163
1125	9346	32155
1126	9354	32147
1127	9362	32138
1128	9371	32132
1129	9379	32124
1130	9388	32116
1131	9396	32107
1132	9405	32102
1133	9414	32096
1134	9422	32087
1135	9431	32079
1136	9439	32071
1137	9448	32064
1138	9456	32055
1139	9464	32048
1140	9474	32042
1141	9482	32035
1142	9490	32026
1143	9498	32017
1144	9507	32009
1145	9515	32001
1146	9524	31995
1147	9533	31987
1148	9540	31977
1149	9549	31968
1150	9557	31961
1151	9566	31953
1152	9574	31947
1153	9583	31939
1154	9592	31934
1155	9601	31928
1156	9610	31921
1157	9619	31916
1158	9628	31908
1159	9636	31898
1160	9645	31892
1161	9653	31884
1162	9662	31877
1163	9670	31868
1164	9678	31860
1165	9687	31853
1166	9695	31844
1167	9703	31834
1168	9711	31826
1169	9720	31819
1170	9729	31812
1171	9737	31804
1172	9745	31795
1173	9754	31788
1174	9762	31780
1175	9771	31775
1176	9780	31766
1177	9788	31759
1178	9797	31752
1179	9805	31744
1180	9814	31738
1181	9822	31729
1182	9830	31719
1183	9838	31709
1184	9846	31700
1185	9854	31691
1186	9862	31681
1187	9870	31672
1188	9878	31663
1189	9887	31656
1190	9895	31648
1191	9904	31640
1192	9912	31631
1193	9920	31622
1194	9929	31616
1195	9937	31608
1196	9946	31600
1197	9954	31593
1198	9964	31587
1199	9972	31578
1200	9981	31572
1201	9990	31566
1202	9998	31558
1203	10007	31550
1204	10015	31542
1205	10024	31535
1206	10032	31526
1207	10040	31518
1208	10049	31510
1209	10058	31504
1210	10067	31498
1211	10074	31488
1212	10083	31480
1213	10091	31472
1214	10099	31461
1215	10107	31452
1216	10115	31443
1217	10124	31437
1218	10133	31431
1219	10141	31423
1220	10150	31416
1221	10159	31409
1222	10168	31402
1223	10176	31394
1224	10184	31386
1225	10193	31377
1226	10201	31370
1227	10210	31363
1228	10218	31355
1229	10227	31348
1230	10236	31342
1231	10245	31334
1232	10253	31326
1233	10261	31318
1234	10271	31312
1235	10279	31303
1236	10287	31296
1237	10296	31287
1238	10304	31280
1239	10313	31273
1240	10322	31268
1241	10331	31261
1242	10340	31254
1243	10348	31245
1244	10357	31237
1245	10366	31232
1246	10374	31224
1247	10383	31216
1248	10391	31208
1249	10399	31199
1250	10408	31190
1251	10416	31182
1252	10424	31174
1253	10434	31169
1254	10442	31161
1255	10451	31154
1256	10459	31145
1257	10468	31138
1258	10476	31129
1259	10484	31122
1260	10493	31113
1261	10501	31105
1262	10509	31097
1263	10518	31088
1264	10526	31080
1265	10534	31071
1266	10542	31062
1267	10551	31055
1268	10559	31046
1269	10567	31036
1270	10576	31029
1271	10584	31021
1272	10593	31014
1273	10601	31004
1274	10608	30994
1275	10617	30986
1276	10625	30977
1277	10633	30967
1278	10640	30957
1279	10648	30948
1280	10656	30938
1281	10665	30931
1282	10674	30925
1283	10683	30918
1284	10691	30909
1285	10699	30901
1286	10707	30891
1287	10715	30883
1288	10724	30874
1289	10731	30864
1290	10740	30857
1291	10749	30849
1292	10756	30839
1293	10765	30832
1294	10773	30823
1295	10782	30816
1296	10790	30806
1297	10798	30799
1298	10806	30789
1299	10814	30780
1300	10823	30773
1301	10831	30763
1302	10839	30754
1303	10847	30745
1304	10855	30736
1305	10864	30729
1306	10872	30720
1307	10880	30711
1308	10888	30702
1309	10896	30692
1310	10904	30684
1311	10913	30676
1312	10920	30666
1313	10929	30658
1314	10937	30649
1315	10946	30642
1316	10953	30632
1317	10961	30623
1318	10970	30614
1319	10978	30605
1320	10986	30596
1321	10993	30586
1322	11002	30578
1323	11010	30570
1324	11019	30564
1325	11028	30557
1326	11036	30548
1327	11044	30538
1328	11052	30529
1329	11061	30523
1330	11069	30513
1331	11077	30504
1332	11085	30495
1333	11093	30485
1334	11101	30477
1335	11110	30470
1336	11118	30460
1337	11126	30452
1338	11134	30443
1339	11142	30434
1340	11151	30428
1341	11159	30419
1342	11167	30410
1343	11176	30402
1344	11184	30392
1345	11192	30385
1346	11200	30375
1347	11208	30366
1348	11216	30358
1349	11224	30348
1350	11232	30338
1351	11241	30331
1352	11249	30323
1353	11257	30313
1354	11265	30304
1355	11273	30296
1356	11282	30289
1357	11291	30281
1358	11298	30271
1359	11307	30264
1360	11315	30255
1361	11323	30245
1362	11331	30236
1363	11339	30228
1364	11348	30221
1365	11357	30214
1366	11365	30205
1367	11373	30196
1368	11382	30188
1369	11390	30179
1370	11398	30170
1371	11406	30163
1372	11415	30155
1373	11423	30146
1374	11432	30139
1375	11440	30131
1376	11449	30124
1377	11457	30116
1378	11466	30108
1379	11475	30102
1380	11483	30094
1381	11493	30088
1382	11501	30080
1383	11510	30072
1384	11518	30065
1385	11526	30056
1386	11535	30048
1387	11543	30038
1388	11550	30029
1389	11559	30022
1390	11568	30014
1391	11577	30007
1392	11585	29999
1393	11593	29990
1394	11601	29981
1395	11610	29973
1396	11618	29964
1397	11626	29955
1398	11635	29949
1399	11643	29940
1400	11652	29933
1401	11661	29926
1402	11669	29917
1403	11677	29908
1404	11685	29900
1405	11693	29891
1406	11701	29882
1407	11709	29873
1408	11718	29866
1409	11726	29857
1410	11735	29849
1411	11743	29842
1412	11751	29832
1413	11760	29825
1414	11768	29815
1415	11776	29806
1416	11784	29797
1417	11792	29788
1418	11800	29779
1419	11808	29770
1420	11816	29761
1421	11824	29753
1422	11833	29744
1423	11841	29737
1424	11850	29730
1425	11859	29723
1426	11867	29714
1427	11876	29707
1428	11884	29698
1429	11892	29690
1430	11901	29682
1431	11909	29673
1432	11919	29669
1433	11928	29662
1434	11936	29654
1435	11945	29647
1436	11953	29638
1437	11961	29629
1438	11969	29620
1439	11977	29611
1440	11986	29603
1441	11994	29595
1442	12002	29586
1443	12011	29578
1444	12019	29570
1445	12027	29561
1446	12036	29554
1447	12044	29546
1448	12052	29536
1449	12060	29526
1450	12069	29520
1451	12078	29513
1452	12086	29503
1453	12095	29497
1454	12103	29489
1455	12112	29482
1456	12121	29476
1457	12130	29468
1458	12138	29459
1459	12146	29450
1460	12154	29442
1461	12163	29435
1462	12172	29428
1463	12180	29419
1464	12188	29410
1465	12197	29403
1466	12206	29397
1467	12215	29390
1468	12224	29382
1469	12232	29375
1470	12241	29368
1471	12250	29361
1472	12259	29353
1473	12267	29346
1474	12276	29339
1475	12285	29332
1476	12294	29324
1477	12302	29316
1478	12312	29311
1479	12321	29305
1480	12330	29299
1481	12340	29294
1482	12349	29286
1483	12357	29277
1484	12366	29271
1485	12375	29265
1486	12384	29257
1487	12392	29249
1488	12401	29241
1489	12409	29233
1490	12418	29225
1491	12426	29217
1492	12434	29208
1493	12442	29199
1494	12450	29190
1495	12459	29184
1496	12467	29175
1497	12476	29167
1498	12485	29161
1499	12493	29152
1500	12503	29146
1501	12511	29137
1502	12519	29128
1503	12528	29121
1504	12536	29112
1505	12545	29106
1506	12553	29098
1507	12562	29089
1508	12570	29080
1509	12578	29072
1510	12587	29064
1511	12595	29055
1512	12603	29047
1513	12611	29037
1514	12619	29029
1515	12627	29020
1516	12636	29012
1517	12645	29005
1518	12653	28997
1519	12662	28990
1520	12670	28981
1521	12678	28973
1522	12687	28964
1523	12695	28956
1524	12705	28951
1525	12717	28951
1526	12725	28943
1527	12733	28934
1528	12742	28925
1529	12750	28917
1530	12759	28910
1531	12767	28901
1532	12775	28893
1533	12784	28885
1534	12792	28876
1535	12800	28867
1536	12808	28859
1537	12816	28850
1538	12825	28842
1539	12833	28833
1540	12843	28828
1541	12851	28819
1542	12859	28810
1543	12867	28802
1544	12876	28793
1545	12884	28786
1546	12893	28778
1547	12901	28769
1548	12911	28766
1549	12920	28758
1550	12929	28750
1551	12937	28742
1552	12946	28734
1553	12954	28726
1554	12962	28716
1555	12970	28708
1556	12978	28700
1557	12987	28692
1558	12995	28683
1559	13004	28677
1560	13013	28669
1561	13022	28662
1562	13031	28655
1563	13040	28648
1564	13048	28639
1565	13056	28629
1566	13064	28620
1567	13072	28611
1568	13079	28602
1569	13087	28592
1570	13096	28585
1571	13106	28581
1572	13117	28577
1573	13125	28569
1574	13133	28559
1575	13141	28551
1576	13150	28543
1577	13157	28533
1578	13166	28526
1579	13174	28516
1580	13182	28507
1581	13190	28497
1582	13198	28489
1583	13206	28480
1584	13214	28471
1585	13222	28462
1586	13230	28452
1587	13239	28445
1588	13247	28437
1589	13255	28428
1590	13263	28420
1591	13272	28412
1592	13281	28404
1593	13290	28397
1594	13299	28391
1595	13307	28383
1596	13316	28375
1597	13324	28366
1598	13332	28358
1599	13340	28349
1600	13349	28342
1601	13358	28333
1602	13366	28324
1603	13374	28317
1604	13382	28308
1605	13391	28301
1606	13399	28292
1607	13408	28283
1608	13416	28275
1609	13424	28266
1610	13433	28258
1611	13441	28249
1612	13448	28240
1613	13457	28232
1614	13465	28223
1615	13474	28216
1616	13482	28208
1617	13491	28199
1618	13499	28191
1619	13507	28181
1620	13515	28173
1621	13524	28166
1622	13533	28159
1623	13541	28150
1624	13549	28141
1625	13557	28132
1626	13566	28124
1627	13574	28115
1628	13583	28109
1629	13592	28101
1630	13600	28093
1631	13608	28084
1632	13616	28075
1633	13625	28067
1634	13633	28060
1635	13642	28051
1636	13650	28043
1637	13658	28034
1638	13667	28026
1639	13675	28017
1640	13683	28009
1641	13691	28000
1642	13700	27992
1643	13708	27983
1644	13717	27976
1645	13725	27968
1646	13734	27960
1647	13743	27954
1648	13751	27945
1649	13760	27938
1650	13769	27931
1651	13778	27923
1652	13785	27913
1653	13794	27905
1654	13802	27896
1655	13811	27889
1656	13819	27880
1657	13828	27873
1658	13837	27866
1659	13845	27858
1660	13854	27850
1661	13863	27843
1662	13871	27835
1663	13879	27826
1664	13888	27819
1665	13897	27811
1666	13905	27802
1667	13914	27794
1668	13922	27786
1669	13931	27779
1670	13943	27778
1671	13951	27769
1672	13960	27761
1673	13969	27754
1674	13977	27746
1675	13985	27737
